Destination,Country code,World,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Montenegro,499,50708,1649,329,,19775,,,,,,,,,,,,,,,,,,,,,,,,9886,,,,,,,,,,,,,,,,,,,,,,,,,,,4489,,,,,,,,,,,,148,,,,,,,,,,,,,,,,77,,,118,,,,,,,,,,,,238,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,11864,,,,,,273,,,,,,,,,,,,,,,,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,620,893847,1129,2524,9,52,240,,385,161395,0,,1365,105,0,1243,521,68,3,1,1519,7,977,3534,3,33,0,4,221,44,18,138664,,,5350,19,4,2,76,7516,61492,8,,2,5,,202,10806,137,2063,667,2,492,,20,135,86,1675,69,31,257,77,1877,408,0,17,70,461,434,89,227,2,132,32,0,0,,347,93781,,0,586,119,1106,27792,199,2,194,0,7,,,32,4650,29358,6,4,,15,413,30,8068,257,211,44,1614,,351,2816,27,320,29,900,106,,5,,2,213,76,2,29,30,210,377,4056,27,473,50,0,118,46,,,42,9,,274,,,20,81,0,2033,72541,4,19,,549,4092,1,47,15,,276,,,343,5,2000,,36,3,55,295,492,1007,,,3,133,20377,,23513,5862,20,,,,,,3,0,18506,14,2148,54,4,55,29,18,96,59,,1,11392,2,16366,27,,2,15,599,831,16717,27,21,281,283,1776,78,,0,5,142,308,19,,,29,48065,3,18989,71,7188,,233,909,,24970,55,,,4,18,1184
San Marino,674,4857,,,,33,,,,0,,,73,,,,3,,,,,1,10,4,,,,,,1,,27,,,3,,,,0,,,,,,,,5,11,,,4,,4,,,,18,21,,,2,,,,,,9,4,5,,,2,,,,,,2,22,,,,,0,4,,,0,,,,,0,,,,,,,2,,1,,7,,0,,1,4219,,1,,2,,,,2,,1,,,,,,2,,,,,,,,,,,,,3,,,,,,19,,,,,,0,,,,,1,,,0,,,,0,,,2,1,28,1,,,,19,,121,48,,,,,,,,,,,0,3,,,,,9,0,,,,,3,0,0,,,,2,0,,,0,1,,,,,,5,4,,,,,63,,4,,14,,,,,,,,,,,
Serbia,688,532457,5885,6297,,266,,,,,,,61,,,338,3709,,,,,,116,115,,,,,,170974,,56,,,1150,,,,,196,,,,,,,,383,,,,,,,,,157361,,,,598,,,56,,,,,,,,,,,,,,,3333,,,,,,7922,,,833,,,,,,,,,,,,2071,,,,,158,,,,566,,,89,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,,80674,,,,,,,,361,,8,,,,,,,,,,,,,,,824,,,,,161,,5015,2184,,,,,,,,,,,,,,,,,440,14703,,,51,,,,,,,,555,1095,83,,,61315,,,,,,,158,,,,,1217,,201,,572,,,,,,,,,,44,
Slovenia,705,233293,,,8,140,30,,,2,,,427,6,6,427,3175,2,,,5,1,122,319,1,1,,,12,98501,2,95,,,949,4,3,2,14,438,2,,1,38,1,,29,807,,,38,,8,,3,1,49475,60,,18,387,3,2,45,,1,160,9,93,,,4,21,10,,,1,34,1252,,,2,11,16,8547,28,,95,,,,,1,8,5,2,11,,5,390,9,111,33,64,55,50,,41,3233,11,68,63,48,25,,12,2,3,26,22,,3,36,13,39,46,13,1,8,,5,7,,,,5,,51,,1,3,2869,1,16,3,2,2,,11,336,,22,3,,32,,,26,1,19,,4,2,3,47,89,358,41,,2,17,314,,352,1241,10,,,,,,,,,14,6,36719,,6,7,,536,,2,11,42,11,458,12,2,9,,,369,1118,34,1,200,14398,,3,,,3,49,96,4,,,3,1513,13,577,1,714,,7,24,,50,6,1,4,11,3,10
Spain,724,6466605,489,143772,,1985,60110,,5749,3811,,,268129,10642,,5616,10000,,,,11939,,3748,46888,,397,,,185203,2041,,126834,,,160832,1202,,,5975,6013,4453,,,,,,62031,161019,,,359178,,2176,,3323,3264,1633,115078,,326,9343,,1519,12520,,828,14291,451184,4188,9158,21383,,1678,3407,,,,13474,216248,,,,19239,10621,240003,15631,,4249,,,,,7361,12050,6104,,,,36271,9393,1341,37397,2002,5497,1724,17519,,2683,97721,,5764,2171,1511,1470,,,,,3870,3083,,801,,110,20296,1485,,,,,22220,311,,,10654,,,47441,,,,,,745674,,,,,3164,52615,,893,18353,,36885,,,19099,,75281,,4379,,86795,190004,39372,75641,137264,,,3794,16983,,797603,65593,,,,,,,,,,714,59072,3972,,1036,,,7848,1253,,,2555,,,,,,,,22832,64118,4954,,1830,625,,483,,,,2680,3723,,,,,82956,,381025,,38009,,79899,,,155034,1525,,,,,
The former Yugoslav Republic of Macedonia,807,139751,590,884,,25400,,,,,,,,,,,4,,,,,,,,,,,,,8468,,,,,1043,,,,,,,,,,,,,,,,,,,,,,1393,,,,53,,,,,,,,1910,,,,,,,,,,,,,,,,42,,,228,,,,,,,,,,,,80,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8968,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,24,211,,,,,,,,,,,,17411,,,,,37,250,,,,,,,,,,,,,,,,,,,,,,,72556,,,,,63,,,,,,,,,,,,,,,
Western Europe,926,24343835,416869,138146,150527,47792,1445029,1,1035,27230,34,213,33113,36925,3499,35590,292451,22438,252,602,16187,258,38573,262901,124,22883,160,528,9484,378812,364,162914,13,694,136755,11109,7002,67211,107846,69444,37884,7277,13,16727,7916,0,32469,274909,758,32,67736,36071,84199,4,3286,97433,301834,20979,65417,3383,193174,5115,102046,44493,6670,6943,33332,16148,78184,2713,2947,19315,13051,32901,10,2,303,33599,501561,0,15,20191,6420,26139,972106,52658,100,293558,20,110,0,1,5624,38276,3677,7194,77118,17,2226,187636,3134,152675,162487,198315,155988,37121,21,42800,1320401,3647,57986,14036,725613,15989,19,2529,52369,44196,23314,126602,267,5796,7778,3051,39786,38248,121028,533,12477,89,70726,2179,7,0,17521,47738,6,31887,4,24888,4202,54821,14,1289015,3237,2520,923,19,7995,363502,14,9626,2404,7592,48952,0,0,18986,714,83866,2,1606,473,3405,39984,97088,1469602,1080053,56,313,57526,28921,0,571287,1159858,11303,3,91,4799,0,118,61,234,437,6595,123117,635941,950,10387,8997,16796,99080,54621,53,40011,37672,4942,530077,124859,1408,4074,215285,233,52198,167547,76620,13074,130690,171735,17,37732,0,128,1794,432364,2300253,5600,9,15,4372,268028,2067,411563,4214,252658,1,5632,25945,766,17934,258697,0,31,3644,2129,3479
Austria,40,1333807,,,7704,2812,1153,,2,305,,6,1361,2727,,2225,,961,20,19,2446,19,1490,2301,37,71,17,22,455,138677,23,4635,,5,14061,109,87,856,584,2276,37,,,26,11,,1124,15831,251,15,1403,,409,,160,191,35755,786,,290,49153,2514,626,1268,6,45,2793,591,13309,61,9,93,333,1140,,,16,1428,8012,,,22,562,2963,199935,2211,,3577,,14,,1,333,270,61,17,56,,88,39743,168,12133,1085,13849,4937,881,,2290,26578,186,2654,669,986,878,,226,579,111,721,1646,4,245,411,338,812,682,67,34,431,8,89,97,,,30,102,,1351,1,22,1612,19521,,1722,60,63,164,1,525,7575,,396,186,28,7583,,,864,28,4302,1,55,53,204,1508,12384,58977,1540,5,23,,1590,,62801,27681,189,,2,13,,9,4,1,2,426,299,174437,39,239,256,,24283,16005,13,1086,2496,311,3684,877,248,257,18,21,3174,14123,2967,254,5009,19592,,195,,6,62,3298,165206,125,,11,245,7357,157,9843,140,9879,,252,674,6,817,2989,,,85,101,267
Belgium,56,1159801,3170,23810,2038,3125,9987,,,2088,,,,3243,,762,2828,717,,,1055,,1332,,,510,,,,1500,,5818,,,14641,,1409,,8161,3098,,,,,,,1040,9611,,,1469,,684,,,1672,849,660,,259,2447,,20072,3343,,,691,,1124,,2461,,654,606,,,,3358,155879,,,,,1342,43821,3226,,16450,,,,,,2306,,,278,,,3127,,7701,1286,3782,1737,4030,,1671,189367,,5051,34,1798,,,,1027,,762,1760,,,,,1099,4905,,,,,,282,,,636,745,,949,,,,1494,,91090,,,,,1036,148440,,,,748,2550,,,1503,,4254,,,,,1058,3460,47894,36777,,,749,,,29328,14243,2019,,,,,,,,,,1320,9122,,655,,,3426,627,,692,817,,50282,,,,,,4920,2339,1670,,3355,2570,,1795,,,,4407,43966,,,,,2633,,27835,,12598,,,1623,,,1163,,,,,
France,250,7439086,,,4682,6583,1406845,1,965,17886,9,59,12731,18766,10,6567,12350,4043,45,159,4912,75,3343,150670,8,20075,113,85,3095,13707,40,56449,,48,17332,8595,1835,62289,78561,25309,21920,4,,16440,7295,,14162,93269,507,17,26778,36024,68317,4,740,88440,9929,4700,34,1013,8955,59,62172,6373,6462,6336,3432,4068,30421,1096,384,628,893,8531,4,,154,3765,,,,19451,1875,7457,229738,6584,69,12675,13,,,,2944,29045,3014,4642,73100,,577,10377,378,47261,4864,22408,6019,9664,13,9044,361475,510,19966,1419,2540,1719,8,723,709,41914,2743,46378,48,772,2311,27,2573,12674,118397,105,2495,6,69253,483,,,16380,43599,,12370,3,24531,1403,1379,6,911046,1268,463,171,,1304,41868,,1926,636,5411,5671,,,4003,108,19849,,502,26,1015,11488,14970,106408,629118,51,146,20358,6451,,65700,50648,6091,1,4,4670,,29,18,216,220,2448,115909,74609,588,1280,2245,9,4379,2550,4,1851,5093,1533,299355,40138,977,1264,23977,21,9894,93682,16478,241,17849,4413,11,23367,,95,404,382129,259514,208,7,1,571,15616,771,172806,633,53010,1,2395,1085,728,6231,123638,,17,479,340,689
Germany,276,9845244,304589,87025,97970,31969,13406,,,,,,7219,10667,,9415,203157,15469,,,4420,,30937,22687,,1374,,,1733,158813,,44344,,,66001,1396,543,790,11344,16500,,,,,207,,5156,74251,,,12375,,12556,,734,2830,233064,10312,,905,111375,1985,7219,21657,,,7219,4465,14437,456,,8250,9281,8250,,,,15469,123751,,,349,2611,13406,,23719,,238220,,,,,651,2791,,,434,,564,105188,1381,46406,12375,120657,93844,12375,,20625,433127,1269,16500,10312,717753,7219,,,49500,939,14437,67031,,2292,3056,222,29907,16500,628,,3652,,764,452,,,,,,7219,,,,20625,,93844,,762,,,2595,137157,,1621,529,894,22687,,,7219,,39188,,306,,985,12375,41250,1146754,107250,,,25781,19594,,383626,1007536,741,,,,,,,,,1027,2252,189750,,3420,1263,,50532,30937,,6115,8250,,88688,41250,,,,,17531,45376,44344,12375,71157,86626,,9281,,,452,26813,1543787,5156,,,1475,234094,,96938,1042,111375,,658,21657,,3248,106219,,,2164,326,
Liechtenstein,438,12208,135,350,,,,,,,,,,,,,2148,,,,,,,18,,,,,,308,,75,,,3,,,,,,,,,,,,,59,,,,,,,,,133,,,,13,,,24,,,,,,,,,2,,,,,7,71,,,,,,1377,,,63,,,,,,,,,,,,29,1,,,,,13,,,1180,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,14,,,,,,,,69,,,,,,,,6,,,,,,,,,21,658,,,,,,,,,,,,,,,,,,,323,,,,,19,47,,,,,341,,,,,,16,3684,,,,138,,,,,,,810,,,,,,,48,,,,,,,,,,,,,
Luxembourg,442,229409,,,,318,107,,,15,,,42,7,,82,876,1,1,,32,1,46,17925,,8,,,4,2559,,315,,,796,3,7,1,65,250,1709,,,1,4,,62,1114,,,28,,,,3,18,439,25,,58,821,6,103,2296,,122,38,17,27,,,,477,8,,,1,1180,32752,,,3,,10,12787,10,,1651,,,,,8,15,,1,3,,,983,349,205,17,246,15,1474,,45,18667,1,300,3,4,3,,,3,,443,37,,1,,6,543,,11,,28,,6,245,,,3,56,,30,,,1,9029,,260,3,,,,34,4041,,25,1,13,8,,,186,,21,,4,1,3,105,200,2852,85716,,,53,15,,1575,415,27,,,,,,,,,,32,6258,3,3,13,,641,439,,3,49,2,3620,13,1,1,,,1865,562,1,,184,366,,20,,,1,142,212,,,,6,186,,5927,,1160,,11,10,,27,77,,,,,4
Monaco,492,24299,,,,,30,,,,,,49,2,,123,199,,,,,,,861,,,,,,,,67,,,12,,,,1,200,,,,0,,,14,10,,,,,1,,,11,,,,,,,,156,,,,,,,,,,5,,,,69,7798,,,2,,,887,,,259,,,,,,3,,,9,,,14,,37,,76,,36,,15,7006,,55,,,,,,,0,,203,,,,,,25,,,,,5,,,,0,,,37,,,,,,335,,,,,,469,,19,,,,,,47,,,,,,,12,,58,618,,,,,,27,50,,,,,,,,,,,26,,,,,,29,56,,,40,,308,,,,,,317,973,21,,,,,19,,,,112,76,,,,,,88,1862,,429,,,,,17,14,,,,,
Netherlands,528,1964922,756,252,33589,1006,4046,,13,322,25,35,2982,782,3489,10422,6796,676,57,121,1240,78,247,52442,16,286,30,348,832,6583,227,15058,13,585,18044,369,2547,714,1983,9629,12120,7273,13,58,98,,3277,62639,,,13916,16,1019,,727,1298,230,1286,65383,484,6393,57,5089,3460,102,79,8569,2030,12526,368,49,1585,829,9228,6,2,62,2840,23561,,15,89,658,279,126587,14175,31,11551,7,49,,,683,2633,263,2399,1417,,445,10920,450,20141,139260,28079,42011,5054,8,5333,22255,891,5979,921,167,2808,2,1117,57,204,2557,3459,129,2049,917,5,3608,1079,180,285,3521,10,167,326,5,,343,363,6,3425,,70,503,4,8,173489,658,982,261,1,1561,,14,3779,450,301,7002,,,2749,490,11868,,288,135,193,3845,11611,80639,15631,,74,7015,93,,13606,40344,1163,2,80,56,,64,24,,158,1714,970,53050,87,4453,3382,16787,3489,102,15,25403,13406,2491,21887,10496,,2053,191182,85,4434,6808,7499,41,13450,123,,1217,,8,539,4479,203483,15,2,,1292,887,622,48977,1523,26445,,634,165,11,3665,12729,,7,459,1000,1461
Switzerland,756,2335059,108219,26709,4544,1979,9455,,55,6614,,113,8729,731,,5994,64097,571,129,303,2082,85,1178,15997,63,559,,73,3365,56665,74,36153,,56,5865,637,574,2561,7147,12182,2098,,,202,301,,7634,18125,,,11767,31,1213,,922,2973,21435,3210,,374,14017,494,6765,5916,100,361,10590,4977,6340,732,44,8759,582,5133,,,70,5483,149737,,,275,714,682,356974,2733,,9112,,47,,,1005,1213,339,135,1821,17,552,17255,407,18791,3600,9218,7425,3594,,3777,260746,790,7481,678,2365,3362,9,463,494,1028,1651,6088,86,437,1083,2453,1244,2378,1745,109,2350,65,442,294,2,,129,2873,,6506,,265,683,2755,,17229,1248,250,327,17,940,23883,,1860,602,197,3451,,,2409,88,4384,1,451,258,1005,9593,13213,25999,202745,,70,3570,1178,,14624,18941,1073,,5,60,,16,15,17,57,980,2309,128392,233,337,1838,,12282,3858,21,4861,7521,605,61912,32085,182,499,108,106,10047,,3640,163,19686,57907,6,1838,,19,336,10984,83199,96,,3,783,7255,429,47327,876,37762,,1682,731,21,3929,11868,,7,457,362,1058
LATIN AMERICA AND THE CARIBBEAN,904,8548070,39040,123467,376,479,1271,15,103,7117,2073,8463,299660,1056,5569,5385,9366,90,1928,93,220,5539,546,10003,6705,62,176,34,454055,164,38,224752,4231,166,2470,66,33,278,316,45691,1269,2675,144,50,39,134,274254,105059,4524,64,1145371,9,281,16,32387,404,3261,83432,6878,148,4771,1422,285,2682,3,22640,124167,83305,4479,65473,86,39,443,1549,15,81,22,1585,176835,4115,13,49,57,189,75068,322,44,4916,516,8892,11427,14,83957,138,996,49995,352883,4,61187,5200,635,14801,1898,2129,875,1887,3,8856,273274,34159,72529,2212,96,420,87,175,20,1312,602,26362,18,115,466,139,1535,364,135,33,511,19,159,183,4,14928,28,23,2,75326,18,180,57,395,2960,2314,1608,150,71,65,90,39225,39,1222,345994,88,2045,13,10,2338,59,1458,32,26259,24,648665,439476,8408,18104,194809,25346,50,31532,684,1186,6510,15517,781,1061,13286,16490,54,15792,15,71,86,2298,369,1488,36,55,414,1533,607,1581,13,59,15403,48,284723,181,2156,40,37270,21,5359,18508,18181,20,1075,2841,54,71,0,365,21685,268,2428,42,316,9,135,9546,126,59178,181,1284001,4025,164380,100,218,133381,564,18,11,68,72,233
Caribbean,915,1407253,19657,57656,11,143,393,4,7,127,2013,8221,6203,11,4800,504,1796,26,1651,29,23,5081,47,1416,583,31,121,12,638,12,13,1912,4192,0,646,0,4,167,7,15591,4,2569,48,11,4,21,4225,9049,142,0,26873,0,23,12,4108,4,2,34355,5744,9,228,8,15,134,0,21722,99126,2340,82,1380,6,2,4,1363,0,0,0,86,106428,3273,0,0,0,22,10884,117,0,212,91,8439,9228,2,1563,17,6,25660,331117,0,4028,168,22,6448,367,138,13,422,0,348,13395,31702,2590,179,27,172,0,4,7,36,29,2067,0,4,43,0,33,38,27,0,90,0,17,53,0,10100,0,9,0,6494,4,4,11,130,2934,43,17,8,3,8,0,18284,8,139,1862,43,334,0,0,107,6,424,0,2894,2,92,6021,4652,798,1933,20309,0,925,8,799,223,2544,0,130,13200,14639,0,15235,4,0,8,44,6,260,0,25,23,1274,31,4,4,4,507,8,19684,33,270,6,4575,8,547,4225,905,0,101,13,0,17,0,20,17934,12,179,0,310,4,13,820,3,24437,29,255592,4005,2861,10,0,35810,162,17,2,33,27,38
Anguilla,660,6520,286,1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,,,,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,,649,529,,,,,,,,,,
Antigua and Barbuda,28,28733,221,183,,,,,,,40,,,,5,7,,,2,,,294,,,12,,12,,,,,,99,,,,,,,422,,12,,,,,,137,,,,,,,,,,20,15,,,,,,,4624,1740,,10,,,,,1337,,,,,43,5,,,,,84,31,,,,188,77,,,,,6309,33,,7,,,81,,,,,,,74,3889,20,,,,,,,,,56,,,,,,,,,,,,,,5,,,,5,,,,,1110,,,,,,,16,,12,,,42,,,,,0,,,,,,,,,55,,,,,,,,,464,660,,893,,,,,,,,,,27,,,,,46,,12,,,,46,,,,249,,,,,,,,701,,,,6,,,,,969,,2559,727,,,,40,,,,,,
Aruba,533,35950,445,6605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,,8412,,,,,,,,,,,,,,,149,4317,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,355,1194,,,,,,,,,,,,,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4388,,,,,,,,,,,,,,,1121,900,,224,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,1520,,,,,,,,,,,,,,13,,,,,,,,,813,,,,,3411,,,,,,
Bahamas,44,61343,329,554,,,,,,,,11,94,,5,74,29,,,,,103,,30,19,,25,,,,13,94,9,,13,,,,,1286,,,14,,,,25,138,9,,135,,,,49,,,281,,,4,4,,9,,41,220,33,7,61,,,4,,,,,5,131,,,,,,208,45,,48,,36,16,,24,,,1148,40491,,33,10,2,531,25,5,,35,,11,122,5764,22,,,13,,,,,,3,,,,,,,,,14,,,5,,,,,,113,,,,,2,4,,,,,,53,,19,6,,137,,,8,,12,,41,,,276,982,17,16,9,,5,,,91,18,,,17,58,,24,,,,4,2,,,3,,,,,,,60,,59,28,,,,8,23,159,,,5,5,,,,,204,,19,,295,,6,4,,1492,,4534,,15,,,28,2,,,,4,7
Barbados,52,32280,3460,4025,,,,,,,,305,,,,33,,,73,,,,,,,,,,,,,,,,,,,,,898,,,,,,,,,,,,,,,,,,,,,,,,,,607,,,,,,,,,,,,,,,,,,,,,,,,759,,,,,,3436,,,,,,593,,,,,,,,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4456,,4938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351,,,,,,,,,4015,,1494,,,,,,,,,,,
British Virgin Islands,92,9144,63,1152,,,,,,,,404,,,10,12,,,14,,,97,,,3,,9,,,,,,,,,,,,,126,,3,,,,,,2,,,,,,,,,,8,5,,,,,,,645,779,,,,,,,,,,,,12,,,,,,30,,,,,,3,,,,,875,9,,,,,20,,,,,,,8,284,2,,,,,,,,,12,,,,,,,,,,,,,,,,,,1,,,,,113,,,,,,,13,,9,,,3,,,,,,,,,,,,,,33,,,,,,,,,1619,286,,1089,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,215,,,,2,,,,,459,,702,,,,,6,,,,,,
Caribbean Netherlands,535,12613,84,491,,,,,,,28,24,3,,732,,,,21,,,63,,,,,,,,,,,62,,,,,,,85,,,,,,,,17,17,,570,,,,,,,44,3986,,,,,,,22,1320,,,,,,,,,,,,31,0,,,,,,,,,,0,26,,,,,160,97,,,,,9,43,,,,,,17,382,29,,,,,,,,,63,,,,,,,,,,,,,,26,,,,0,,,,,,,,,,,,2048,,3,,,,,,2,,,,,,,,,,46,10,,,,,,,,,25,0,,13,,,,,,,,,,498,,,,,,,17,,,,403,,,,,,,,,,,,7,,,,,,,,,54,,570,0,,,,465,,,,,,
Cayman Islands,136,33671,71,30,,,,,,,,,18,,,242,66,,240,,,236,,18,453,,45,,,,,93,,,,,,,,1863,,,,,,21,,,,,539,,,,169,,,972,18,,,,,26,,,87,,,,,,,,,,,15,51,,,,,,177,,,,,23,,,,,,432,26,,2352,,,748,,15,,299,,18,120,13236,29,,,48,,,,,,,,,,,,,,,26,,,,,,,,,54,,,,,,,,,,,,51,,74,510,39,15,,,,,144,,177,,,21,2419,,,63,,,,,,,,,,15,,42,,,,,,,,,,,,,,,51,,39,,,,,,,106,,,71,,,,,,404,,,,,,,,,2753,21,3691,,,,,48,,,,,15,26
Cuba,192,16177,407,939,,114,49,4,7,102,,3,173,3,,6,17,26,2,,3,20,35,14,4,6,2,,60,4,,41,,,139,,,2,3,63,,,13,3,,,183,307,3,,165,,23,,41,,2,,3,,189,3,7,3,,10,125,63,7,28,6,2,,21,,,,4,154,2,,,,5,352,3,,20,91,84,28,2,71,13,6,10,966,,35,72,,32,15,2,5,,,3,230,306,31,10,23,4,,,7,4,9,58,,,5,,7,,2,,,,,,,,,,,416,,,7,,,10,,,3,,,22,,,279,,5,,,2,6,,,86,2,7,89,7,99,16,128,,9,,,71,2101,,,,,,4,4,,,6,,,,,2,,19,,4,,,1,5008,5,10,1,,,13,27,39,,,,,,,,3,,17,,,,2,639,2,52,2,554,2,28,10,,201,,,2,29,,
Curaçao,531,36865,81,457,,,,,,,42,53,21,,1674,0,,,80,,,187,,89,,,,,,,,,98,,,,,,,88,,2287,,,,,,479,110,,4699,,,,,,,229,,,,,,,,105,5599,,,,,,,,,,,,10,2,,,,,122,,,,,2,93,,,,,449,1928,,,,,625,179,,,,,,23,1274,128,,,,,,,,,247,,,,,,,,,,,,,,31,,,,13,,,,,,,,,,,,9311,,1,,,,,,1,,,,,,,103,,,901,15,,,,,,,,,178,1,,285,,,,,,,,,,490,,,,,,,20,,,,1833,,,,,,,,,,,,95,,,,,,,,,24,,324,28,,,,1751,,,,,,
Dominica,212,6419,192,993,,,,,,,18,469,,,43,7,,,11,,,155,,,0,,1,,,,,,79,,,,,,,170,,,,,,,,36,,,,,,,,,,11,,,,,,,,0,0,,1,,,,,1,,,,,75,21,,,,,28,7,,,,,1403,,0,,,176,36,,1,,,26,,,,,,,1,120,0,,,,,,,,,31,,,,,,,,,,,,,,132,,,,0,,,,,150,,,,,,,10,,0,,,47,,,,,7,,,,,,,,,16,,,,,,,,,58,261,,116,,,,,,,,,,,,,,,,,,,,,18,,,,16,,,,,,,,283,,,,1,,,,,587,,577,,,,,28,,,,,,
Dominican Republic,214,402506,,,8,29,88,,,25,192,368,3653,8,456,92,1334,,126,29,4,38,12,677,79,25,12,12,502,8,,1313,17,,494,,4,163,4,4925,4,9,17,8,4,,2615,4995,,,6494,,,12,2146,4,,9435,45,8,17,,8,96,,32,,1313,8,506,,,,,,,,62,3490,,,,,17,7028,,,130,,12,134,,657,4,,62,258814,,599,70,20,397,29,96,8,70,,256,9622,582,1736,50,4,106,,4,,32,20,991,,4,38,,25,38,25,,50,,17,46,,70,,8,,2402,,4,4,125,17,29,17,8,,8,,799,8,8,574,4,58,,,92,,229,,967,,85,2753,158,657,220,12120,,758,8,,42,397,,130,106,385,,4,,,8,32,4,249,,20,20,21,12,4,,4,335,7,10167,,260,5,142,,511,2959,106,,,8,,17,,20,138,12,101,,4,4,,168,,803,4,12602,652,2247,,,19680,75,17,,4,8,4
